step	agentId	[regionId,diseaseStatus,diseaseSeq,time,location,checkin,Reported,Sampled,Sequenced]
0	0	[1,Susceptible,,,,,false,false,false]	
0	1	[1,Susceptible,,,,,false,false,false]	
0	2	[1,Susceptible,,,,,false,false,false]	
0	3	[1,Susceptible,,,,,false,false,false]	
0	4	[1,Susceptible,,,,,false,false,false]	
0	5	[1,Susceptible,,,,,false,false,false]	
0	6	[1,Susceptible,,,,,false,false,false]	
0	7	[2,Susceptible,,,,,false,false,false]	
0	8	[2,Susceptible,,,,,false,false,false]	
0	9	[2,Susceptible,,,,,false,false,false]	
0	10	[2,Susceptible,,,,,false,false,false]	
0	11	[2,Susceptible,,,,,false,false,false]	
0	12	[2,Susceptible,,,,,false,false,false]	
0	13	[2,Susceptible,,,,,false,false,false]	
0	14	[2,Infectious,14-1,2019-07-01T00:00:00.000,POINT (743805.4833792862 3738874.6305401),AtHome,true,false,false]	
0	15	[2,Susceptible,,,,,false,false,false]	
0	16	[2,Susceptible,,,,,false,false,false]	
0	17	[2,Susceptible,,,,,false,false,false]	
0	18	[3,Susceptible,,,,,false,false,false]	
0	19	[3,Susceptible,,,,,false,false,false]	
0	20	[3,Susceptible,,,,,false,false,false]	
0	21	[3,Susceptible,,,,,false,false,false]	
0	22	[3,Susceptible,,,,,false,false,false]	
0	23	[3,Susceptible,,,,,false,false,false]	
0	24	[3,Susceptible,,,,,false,false,false]	
0	25	[4,Susceptible,,,,,false,false,false]	
0	26	[4,Infectious,26-1,2019-07-01T00:00:00.000,POINT (741980.6597505134 3739726.2615279513),AtHome,true,false,false]	
0	27	[4,Infectious,27-1,2019-07-01T00:00:00.000,POINT (742400.4577661057 3739338.802552792),AtHome,true,false,false]	
0	28	[4,Susceptible,,,,,false,false,false]	
0	29	[4,Susceptible,,,,,false,false,false]	
0	30	[4,Susceptible,,,,,false,false,false]	
0	31	[4,Susceptible,,,,,false,false,false]	
0	32	[5,Susceptible,,,,,false,false,false]	
0	33	[5,Susceptible,,,,,false,false,false]	
0	34	[5,Susceptible,,,,,false,false,false]	
0	35	[5,Susceptible,,,,,false,false,false]	
0	36	[5,Susceptible,,,,,false,false,false]	
0	37	[5,Susceptible,,,,,false,false,false]	
0	38	[5,Susceptible,,,,,false,false,false]	
0	39	[5,Susceptible,,,,,false,false,false]	
0	40	[6,Susceptible,,,,,false,false,false]	
0	41	[6,Susceptible,,,,,false,false,false]	
0	42	[6,Susceptible,,,,,false,false,false]	
0	43	[6,Susceptible,,,,,false,false,false]	
0	44	[6,Susceptible,,,,,false,false,false]	
0	45	[6,Susceptible,,,,,false,false,false]	
0	46	[6,Susceptible,,,,,false,false,false]	
0	47	[7,Susceptible,,,,,false,false,false]	
0	48	[7,Susceptible,,,,,false,false,false]	
0	49	[7,Susceptible,,,,,false,false,false]	
0	50	[8,Susceptible,,,,,false,false,false]	
0	51	[8,Susceptible,,,,,false,false,false]	
0	52	[8,Infectious,52-1,2019-07-01T00:00:00.000,POINT (742845.874553742 3738760.6673765965),AtHome,true,true,false]	
0	53	[8,Susceptible,,,,,false,false,false]	
0	54	[8,Susceptible,,,,,false,false,false]	
0	55	[8,Susceptible,,,,,false,false,false]	
0	56	[8,Infectious,56-1,2019-07-01T00:00:00.000,POINT (742551.3659861059 3738381.9722975795),AtHome,true,false,false]	
0	57	[8,Susceptible,,,,,false,false,false]	
0	58	[8,Susceptible,,,,,false,false,false]	
0	59	[8,Susceptible,,,,,false,false,false]	
0	60	[8,Susceptible,,,,,false,false,false]	
